question,choice,answer
动火前可燃性、易爆气体含量或粉尘浓度检测的时间距动火作业开始时间不应超过（）。,1H|2H|3H|4H,B
卸储煤系统各工作场所、通道及铁道沿线均应有良好的（）。,通风|采光|照明|环境,C
不准在有煤块掉落的地方通行或工作，并应在周围设置（）和安全警告标志。,警告牌|警示牌|围栏|警戒线,C
卸船机、斗轮机、带式输送机等储运煤设备开动前，必须进行（），确认工作区域无人员和无妨碍启动的障碍物时方可启动。,现场检查|音响警告|现场巡检|,B
储煤场不得超设计能力存储。储煤场内煤堆底部与靠近煤堆的铁轨、非承重挡风墙、干煤棚、立柱支架等之间至少应有（）的距离，如有装煤或卸煤的设备（如坦克抓煤机、推煤机等）需要在该区域进行工作时，还需适当放宽。,0.5M|1M|1.5M|2M,C
卸煤沟或卸煤孔上应盖有坚固的箅子，卸煤时不准拿掉。箅子的网眼不宜大于（）。,100mm×100mm|200mm×200mm|300mm×300mm|250mm×250mm,B
"堆取煤时，应随时注意保持煤堆有一定的边坡，避免形成陡坡,不宜超过(），以防坍塌伤人。",30°|45°|60°|90°,C
煤场煤堆应定期（），存煤应及时倒烧。,翻堆|压实|松堆|测温,D
存煤自燃时，禁止在煤堆（）作业及灭火，防止坍塌。,下方|附近|正上方|侧面,C
存煤自燃时，使用工程机械灭火时，人员与机械设备应处于该自燃区域上风向位置。,上风|下风|侧面|附近,A
推煤机、装载机、挖掘机上下煤堆时，操作人员应观察周围的车辆和人员情况，防止发生意外；煤堆坡度不得超过（），防止推煤机溜车。,15°|25°|35°|45°,C
在煤堆上工作时，操作人员应注意煤堆有无发生坍塌的可能，推煤机、装载机、挖掘机和煤堆边缘应保持()以上的距离，以防推煤机、装载机、挖掘机倾倒。,1M|1.5m|2m|2.5M,B
斗轮机、卸船机遇()级以上大风时，应停止作业，并锚定，装好防风系缆。,5|6|7|8,B
禁止用吊斗、抓斗载运（）或工具。,设备|人员|钢丝绳|小型电动工器具,B
斗轮机的梯子及围栏，应保持完整。照明应保证足够的亮度。斗轮机应挂“（）”的警告牌，必要的爬梯口装门加锁。,未经许可，不准攀登|禁止通行|从此上下|高空坠落,A
斗轮机尾车堆、取工位变换时，必须（）。,就地操作|有专人监护|在驾驶室操作|先就地检查,B
推煤机配合斗轮机作业时，应保持()以上的安全距离。夜间不准采取此种方式作业。,1M|2M|3m|5M,C
卸船期间，发现煤船缆绳松动必须及时通告煤船操作人员。煤船漂离码头() 以上，禁止卸煤作业。,1M|2M|3m|5M,B
卸船机禁止使用绳径磨损达7%或一股内断丝数达（）的钢丝绳。,5%|10%|12%|8%,B
带式输送机的两侧通道均应装设（）和紧急停运的“拉线开关”。,防护栏杆|冲洗水|消防水|跑偏开关,A
带式输送机胶带和滚筒上，应装刮煤器。禁止在（）人工清理滚筒上的粘煤或对设备进行其他清理工作。,运行中|检修中|停运中|备用中,A
清理磁铁分离器的铁块时，应先停止带式输送机运行并（）。,设置检修状态|挂警示牌|切断电源|拉开事故拉绳,C
燃用易自燃煤种的储运煤系统应采用（）。,普通胶带|增强胶带|钢丝绳芯胶带|阻燃胶带,D
人工清理船舱横梁积煤时，应在舱内煤位（）于横梁时进行，并“面向低位舱、背向高位舱”站位，严禁倒退行走作业。,略高|略低|高|低,B
禁止清舱机和卸船机在同一舱内同时作业。卸船机作业时，距离清舱机停放位置（）区域内禁止下落抓斗抓煤。,1M|2M|3m|5M,B
恶劣天气时（如巨浪、6 级以上大风、暴雨、暴雪、浓雾、雷电等），禁止煤船清舱作业。严冬、大风、雨雪天气上下舱应系设()。,安全带|安全绳|防坠器|救生衣,A
"主厂房内架空电缆与热体管路应保持足够的距离，控制电缆不小于0.5m,动力电缆不小于()。",1M|2M|3m|5M,A
应经常进行各种形式的（），提高职工的安全防护意识和安全防护方法。,安全培训|安全思想教育|技能培训|安规考试,B
努力提高除尘器的运行水平，严格执行电除尘运行维护导则。对设备运行中存在的故障和问题及时处理，保证除尘器（）。,正常投用|运行效率|正常运行|除尘效果,B
吊车、翻斗车、起重车，除驾驶员、副驾驶员座位以外，任何位置在行驶中不得有人（）。,工作|站立|坐立|,C
定期对人员进行（），提高安全技术防护水平。,安全培训|安全思想教育|技能培训|安全技术培训,D
煤粉仓、制粉系统和输煤系统附近应有（），并备有专用的灭火器材，消防系统水源应充足、水压符合要求。消防灭火设施应保持完好，按期进行。,冲洗水|消防设施|灭火器材|消防水,B
火电厂要定期进行可能会造成环境污染的事故预想和反事故操作演习，至少每年（）次。,1|2|3|4,B
消除制粉系统和输煤系统的粉尘泄漏点，降低煤粉浓度。大量放粉或清理煤粉时，应杜绝（），防止煤尘爆炸。,明火|水冲洗|环境污染|污染扩散,A
作业地点气温大于()℃时，应采取局部降温和综合防暑措施。,35 | 36 | 37 | 38,C
喷灯使用时油桶内的油量不得超过油桶容积的()。,3/4|4/5|2/3|1/2,A
当灭火器质量减轻10%或压力表指示低于()区域必须重新充装。,绿色|黄色|红色,A
梯子不得超过(　)ｍ，两节梯子梯长比为１:１，搭接长度不小于１．１５ｍ。,12|８|１０|6,C
任何人员(包括参观、检查、实习人员)只要进入超过()dB(A)的区域，必须佩带上耳塞或护耳器。,94|91|88|85,D
禁止电瓶车进入油区，进入油区的机动车必须加装()。,隔离防护罩|防火罩|接地保护|灭火装置,B
凡发现工作人员有()精神不振时，禁止登高作业。,饮酒|兴奋|感冒,A
已执行的工作票由各单位指定部门按编号顺序收存，至少保存( )个月。,6 |12|3,C
工作若不能按批准工期完成时，工作负责人必须提前()h向工作许可人申明理由，办理申请延期手续。,1 |1.5 |2|0.5,C
危险区域周围必须标识 ( ) 。,安全警示线|安全标志,B
对可能带电的电气设备以及发电机、电动机等着火，应使用 ( ) 灭火。,水| 泡沫灭火器|CO2灭火器,C
( ) 首先要使触电者迅速脱离电源，越快越好，因电流作用的时间越长，对人体伤害越重。,触电急救| 溺水急救|创伤急救,A
使用砂轮机、无齿锯、磨光机时必须戴 ( ) 或面罩。,防护眼镜|防尘帽| 防尘口罩,A
在高温环境工作时，应合理增加作业人员的工间 ( ) ，工作人员应穿透气、散热的棉质衣服。,休息时间|工作时间,A
各类作业人员有权拒绝违章指挥和( ) 。,强令加班|强令冒险作业|非本职工作,B
新录用的工作人员，须经过 ( ) 合格。符合电力生产人员健康要求。,文化考试|体格检查|安规考试,B
"生产现场各类废油应倒入指定的 ( ) 内,及时回收处理，严禁随意倾倒。",容器|油箱|地沟,A
下列工作人员应负工作的安全责任：①工作票签发人；②()负责人；③工作许可人。,值班|检修 |工作,C
电气工器具应由专人保管，每()个月测量一次绝缘，绝缘不合格或电线破损的不应使用。,3 |12|6,C
新录用的工作人员应过体格检查合格。工作人员至少( )进行一次体格检查。,半年 |一年|两年,C
在检修工作中如需将盖板取下，必须装设牢固的 ( ) 和明显的“当心坑洞、当心坠落”等安全警示标示牌。,硬质围栏|临时围栏|警示绳,A
安全带的挂钩或绳子应挂在结实 ( )的构件上，或专为挂安全带用的钢丝绳上。,移动|松动|牢固|活动,C
胸外按压要以均匀的速度进行，每分钟 ( ) 次左右，每次按压和放松的时间相等。,80 |100|60,B
工作场所的井、坑、孔、洞或沟道，必须覆以( )的坚固的盖板。,与地面齐平|高出地面 |未要求|低于地面,A
生产人员调换岗位、因故间断工作连续 ( ) 以上者，必须学习本规程的有关部分，并经考试合格后方可上岗开始工作。,半年|三个月|一年,B
凡在离地面() 及以上的地点进行的工作，都应视作高处作业。,1m|2m|3m,B
在梯子上工作时，梯与地面的斜角度为60°左右。工作人员必须登在距梯顶不少于() 的梯蹬上工作。,1.5米|0.5米|1米,C
工作票由(　)签发或由经设备运行维护单位审核合格并批准的其他单位签发。承发包工程中，工作票可实行双方签发形式。,其他单位|设备运行维护单位 |工作票签发人,B
许可工作时，工作许可人应和工作负责人在工作票上分别( )。,注明注意事项|签名|确认、签名|补充安全措施,C
"作业人员的基本条件之一：经( 　 )鉴定,作业人员无妨碍工作的病症。",医师|医疗机构|专业机构|领导,A
()不得兼做其他工作。,工作许可人|值班员|专责监护人|工作负责人,C
工作票的字迹要填写工整、清楚、符合( 　 )的要求。,仿宋体|规程|印刷体|楷书,B
工作结束时间应由(　)填写。,值班负责人|工作票签发人|工作许可人|工作负责人,D
工作人员( 　 )擅自移动或拆除遮栏、标示牌。,视情况可|不应| 允许|严禁,D
事故紧急抢修工作(　)。,记入操作记录簿内 |可不用工作票| 使用紧急抢修单或工作票 |用操作票,C
工作许可后，工作负责人、专责监护人应向工作班成员交待工作内容和现场安全措施。工作班成员(　)方可开始工作。,检查好安全措施的布置后|履行确认手续后| 熟悉工作流程后 | 了解后,B
非连续进行的事故修复工作应使用(　)。,操作票|事故检修单 |工作票|电气带电作业工作票,C
工作票由设备运行维护单位签发或由经设备运行维护单位审核合格并批准的其他单位签发。承发包工程中，工作票可实行( 　 )签发形式。,第三方 | 双方 |单方| 承包商,B
在发现直接危及(　)安全的紧急情况时，现场负责人有权停止作业并组织人员撤离作业现场。,电网|设备|人身| 操作,C
经常有人工作的(　)宜配备急救箱，存放急救用品，并制定专人检查、补充或更换。,休息室|场所及施工车辆上| 作业现场|宿舍,B
经医师鉴定，无妨碍工作的病症(体格检查()每两年一次)。,最多 | 必须|至少|约,C
在检修工作( 　)应进行工作布置，明确工作地点、工作任务、工作负责人、作业环境、工作方案和书面安全要求，以及工作班成员的任务分工。,后|中|期间|前,D
在发现直接危及人身安全的紧急情况时，(　)有权停止作业并组织人员撤离作业现场。,有关领导|现场负责人|现场运行人员|各类作业人员,B
"(),各级领导必须以身作则，要充分发动群众，依靠群众；要发挥安全监察机构和群众性的安全组织的作用，严格监督《电业安全工作规程》的贯彻执行。",安全第一，预防为主|谁主管，谁负责|安全生产，人人有责|管生产必须管安全,A
检修工作开始以前，(　　)和工作负责人应共同到现场检查安全措施确已正确地执行，然后在工作票上签字，才允许开始工作。,工作班成员|工作签发人|工作许可人|运行值班人员,C
参加灭火的人员在灭火时应防止被火烧伤或被燃烧物所产生的气体引起中毒、窒息以及防止引起爆炸。电气设备上灭火时还应防止()。,烧伤|设备损坏|爆炸|触电,D
上下梯子时应面部朝内，严禁手拿工具或器材上下，在梯子上工作应备()。,安全帽|安全带|安全绳|工具袋,D
施工用电，照明、动力分支开关箱，应装设()。,插座|漏电保护器|刀闸|自动空气开关,B
消防砂箱、消防桶和消防铲、斧把上应涂()。,黑色|绿色|黄色|红色,D
电力生产企业应按照()的原则，建立各级人员的防火责任制。,谁主管、谁负责|谁使用，谁负责|定点、定人、定任务|谁管理、谁主管,A
梯子应坚固完整，梯子的支柱应能承受作业人员及所携带的工具、材料攀登时的总重量，硬质梯子的横木应嵌在支柱上，梯阶的距离不应大于(　　)，并在距梯顶(　　)处设限高标志。梯子不宜绑接使用。,300mm、0.6m|300mm、1.0m|400mm、1.0m|400mm、0.8m,C
新参加电气工作的人员、实习人员和临时参加劳动的人员(管理人员、临时用工等)，必须经过(　　)后，方可下现场随同参加指定的工作，但不得单独工作。,安全知识教育|劳动纪律学习|消防知识教育|电气专业培训,A
安规规定，在发现直接危及人身安全的紧急情况时，现场()有权停止作业并组织人员撤离作业现场。,工作人员|负责人|领导|管理人员,B
安规规定，在梯子上工作时，梯子与地面的斜角度为()左右。工作人员必须登在距梯顶不少于()的梯蹬上工作。,65°、0.8m|60°、1m|65°、1m|60°、0.8m,B
行灯电压不应超过()，在周围均是金属导体的场所和容器内工作时，不应超过()。在潮湿的金属容器内、有爆炸危险的场所(如煤粉仓、沟道内)、脱硫烟道系统等处工作时，不应超过()。行灯变压器的外壳应可靠地接地，不准使用自耦变压器。,24V、12V、12V|24V、12V、6V|36V、12V、12V|36V、24V、12V,D
安规规定，在金属容器和狭窄场所工作时，必须设专人不间断地监护，监护人可以随时切断电动工具的电源。电源联接器和控制箱等应放在()。,干燥场所|容器外面|容器外面、宽敞、干燥场所|不影响通行的地方,C
安规规定，在金属容器和狭窄场所工作时，必须使用()以下的电气工具，或选用Ⅱ类手持式电动工具。,24V|36V|220V|12V,A
安规规定，使用砂轮机时，禁止()，禁止用砂轮的侧面()，不准站在砂轮机的()操作，严禁两人同时使用一个砂轮机。操作人员应戴合格的防护眼镜。,带手套、打磨、侧面|烟火、打磨、侧面|撞击、磨削、正面|无证作业、磨削、上面,C
安规规定，砂轮机砂轮的固定应使用法兰盘，且法兰盘的直径大于砂轮直径的()分之一。,五|四|二|三,D
安规规定，砂轮机防护罩的开口角度不超过()，其中轮轴水平中心线以上不超过65°。,90ð|120ð|80ð|100ð,A
安规规定，砂轮机必须装有用钢板制成，有足够强度的()。,支座|防护罩|台板|外壳,B
安规规定，遇有电气设备着火时，应()将有关设备的电源切断，然后进行救火。,快速|找人|设法|立即,D
安规规定，发现有人触电，应()切断电源，使触电人脱离电源，并进行急救。,立即|找人|快速|设法,A
安规规定，敷设临时低压电源线路，应使用绝缘导线。严禁将导线()在护栏、管道及脚手架上。,放置|捆绑|缠绕|搭设,C
"安规规定，敷设临时低压电源线路，应使用绝缘导线。室内/外架空高度应分别大于(),跨越道路应大于6m。",2m/3m|2.5m/3.5m|2.5m/4m|2.5m/3m,C
安规规定，应避免靠近和长时间的停留在可能受到烫伤的地方。如因工作需要，必须在这些处所长时间停留时，应()。,有人监护|穿防护服|经领导批准|做好安全措施,D
安规规定，在机器设备断电隔离之前或在机器转动时，()从靠背轮和齿轮上取下防护罩或其它防护设备。,小心|戴上防护手套后|尽可能快的|禁止,D
安规规定，作业人员进入生产现场必须穿着()的工作服，着装不应有可能被转动的机器绞住的部分，衣服和袖口必须扣好。,抗静电|材质合格|宽松|阻燃,B
安规规定，企业必须对()进行厂(公司)、车间(部门)、班组(岗位)的三级安全教育培训，告知作业现场和工作岗位存在的危险因素、防范措施及事故应急措施。,外来务工人员|所有新员工|参观人员|实习生,B
安规规定，进入空气流动性较差的场所作业，必须事先进行通风，并测量氧气含量、一氧化碳、可燃气等气体含量，确认不会发生()。,中毒|缺氧|缺氧、中毒|窒息,C
安规规定，在楼板和结构上打孔或在规定地点以外安装起重滑车或堆放重物等，必须事先经过本单位()的审核许可。,主管领导|有关技术部门|负责人|技术人员,B
安规规定，()利用任何管道、栏杆、脚手架悬吊重物和起吊设备。,经加固后，可以|办理许可手续后，可以|经相关部门同意后，可以|禁止,D
安规规定，所有高出地面、平台1.5m，需经常操作的阀门，必须设有便于操作，牢固的()。,梯子或平台|移动平台|固定平台|梯子,A
安规规定，门口、通道、楼梯和平台等处，不准放置()。,急救箱|油品|梯子|杂物,D
安规规定，各级领导人员不应发出违反安全规定的命令，工作人员接到违反安全规定的命令，应()执行。,复松确认后|视情况|拒绝|报告上级后,C
安规规定，电力生产必须建立健全各级人员安全生产责任制。按照“()”的原则，做到在计划、布置、检查、总结、考核生产工作的同时，计划、布置、检查、总结、考核安全工作。,安全第一|管生产必须管安全|全面管理|谁主管谁负责,B
触电的()与电流大小、电压高低、人体电阻，电流通过人体的途径，触电时间长短和人的精神状态等六种因素有关。,位置|程度|原因|伤害程度,D
浓酸强碱一旦溅入眼睛或皮肤上，首先应采用( )方法进行清洗。,清水清洗|1%的醋酸清洗|2%稀碱液中和|0.5%的碳酸氢钠溶液清洗,A
触电人心脏跳动停止后，应采用()方法进行抢救。,摇臂压胸| 胸外心脏挤压|打强心针|口对口呼吸,B
在地下室内，对设备进行操作、巡视、维护或检修工作不得少于()人。,2|4|1|3,A
在梯子上工作时，工作人员必须蹬在距梯子顶不少于()米的蹬梯上工作。,1|1.8|1.5|2,A
所有高出地面、平台()，需经常操作的阀门，必须设有便于操作，牢固的梯子或 平台。,1.0m|0.5m| 1.5m| 2.0m,C
对于临时工，下列正确的是( ),临时工的事故统计、考核与固定职工相同，但从事生产工作所需的安全防护用品的发放不与固定职工相同|临时工的安全管理、事故统计、考核以及安全防护用品的发放与固定职工同等对待|临时工从事生产工作所需的安全防护用品的发放不与固定职工相同|临时工的安全管理与固定职工相同，但不考核、不统计,B
新入厂的生产人员，必须经( )考试合格，方可进入生产现场工作.,经车间考试合格|经厂(局、公司)、车间和班组三级安全教育，经《电业安全工作规程》考试合格|经厂(局、公司)考试合格|经班组考试合格,B
进入下列现场，( )必须戴安全帽?,控制室|高压配电室 |非生产区域|检修班组办公室,B
当过道中存在高度低于()的物件时，必须设置明显的警告标志。地面有油水、泥污等，必须及时清除，以防滑跌。,2 m |3.5 m|2.5 m C|3 m,A
在地下维护室和沟道内工作，禁止使用明火照明，可用()的行灯。在有有害气体的地下维护室及沟道内工作，应使用携带式的防爆电灯或矿工用的蓄电池灯。,220V |12V～36V | 380V,B
敷设临时低压电源线路，应使用绝缘导线。架空高度室内应大于()m,3.5|1.5|2.5,C
所有高温的管道、容器等设备上都应有保温，保温层应保证完整。当环境温度在25℃时，保温层表面的温度不宜超过()℃。,55|50|60,B
作业现场的生产条件和安全设施等应符合有关标准、规范的要求，工作人员的()应合格、齐备。,安全工器具 |劳动防护用品 |车辆配备,B
安全带的挂钩或绳子应挂在结实牢固的构件上，或专为挂安全带用的钢丝绳上，应采用()的方式。,高挂低用 |低挂高用 |平挂使用,A
制定《电力安全工作规程》的目的是为了加强电力生产现场管理，规范()工作人员的行为，保证人身、电网和设备安全。,各类|检修 |运行 |管理,A
《电力安全工作规程(热力和机械)》(GB 26164.1-2010)第3.4.1条款规定：规定:机器的转动部分( )装有防护罩或其它防护设备(如栅栏)，露出的轴端必须设有护盖。,可|视情况|必须|严禁,C
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第3.4.4条款规定：清拭运转中机器的( )部分时，严禁戴手套或将抹布缠在手上使用，只有在转动部分对工作人员没有危险时，方可允许用长嘴油壶或油枪往油盅和轴承里加油。,固定|移动|旋转|旋转和移动,A
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第3.2.13条款规定：所有高出地面、平台()m，需经常操作的阀门，必须设有便于操作，牢固的梯子或平台。,1|0.5|1.5|2,C
《电力安全工作规程 第1部分 热力和机械》(GB 26164.1-2010)第3.2.13条款规定：所有升降口、大小孔洞、楼梯和平台，必须装设不低于( )mm高的栏杆和不低于100mm高的脚部护板。,1100|1050|1000|1200,B
角向磨光机的砂轮应选用增强纤维树脂型，其线速度不得小于()m/s。,60|90|70|80,D
触电事故即人体触及带电体所发生的事故，主要分电击和()两大类。触电事故中危及生命安全的主要是电击。,电伤|电场伤害|电弧灼伤,C
现场作业中，如工作可能影响周围()时，应设置防护装置及警告标志。,消防、应急通道|环境、交通|作业人员视线,B
关于人工搬运物料，()的描述不正确。,易滑或伤手的物体应使用防护手套搬运|搬运散装零部件可用手抱 |不能超重搬运，搬运姿式应适当 |禁止单人搬运6M长以上的脚手架管,B
在工作中，如遇到酸溅到皮肤上，必须采取的第一处理措施是()。,立即用碱性溶液中和|拨打事故灾难报警电话求救 |用棉布擦拭伤害部位|立即用大量清水冲洗伤害部位,D
常用安全电压等级有( )。,56V、36V、24V、12V |46V、36V、24V、16V|48V、38V、26V、12V |48V、36V、24V、12V,D
用于表示“当心触电、注意安全等标志”的安全标志的类型为()。,警告标志|禁止标志|提示标志|指令标志,A
一般当环境中氧含量低于()时，就有窒息风险。,19%|18%|21%|20%,B
安全色是传递安全信息含义的颜色，包括()四种颜色。,红、黑、黄、绿 |红、黑、白、绿|红、蓝、黄、绿 |红、蓝、白、绿,C
( )发现有违反《电力生产安全工作规程》，并足以危及人身和设备安全者，应立即制止。,任何工作人员|单位领导 |生产管理人员|工作负责人,D
心肺复苏的黄金时限是指临床死亡后开始的()分钟之内。,10|8 |4 |6,C
现场急救最主要的目的是(),减轻伤员痛苦 |减少死亡，降低伤残率|消除伤员的致伤因素 |尽可能快的转送伤员到医院,B
心肺复苏技术支持生命的三项基本措施的正确顺序是()。,畅通气道、胸外心脏按压、人工呼吸|畅通气道、人工呼吸、胸外心脏按压|胸外心脏按压、畅通气道、人工呼吸,B
"
",,
