question,answer
对从事临时性工作的外来人员(含临时用工、实习人员)，以及管理人员参加生产现场工作，工作负责人必须在开始工作前，交待现场的危险点、安全措施和注意事项。,正确
事故抢修因时间紧，故不必明确工作负责人、工作许可人，更不必设专责监护人。,错误
工作许可人或值长，应根据现场的安全条件、施工范围、工作需要等具体情况，增设专责监护人和批准被监护的人数。,错误
工作票值班负责人(值长)必须对工作结束后的安全措施拆除与保留情况的准确填写和执行情况负责。,正确
工作票值班负责人(值长)可以批准没有危险点控制措施的工作票。,错误
工作票值班负责人(值长)必须负责审查工作的必要性和检修工期是否与批准期限相符，以及工作票所列安全措施是否正确完备，因为这是工作票值班负责人(值长)的安全责任。,正确
工作票工作许可人必须对工作负责人正确说明哪些设备有压力、高温、有毒有害介质和有爆炸危险等，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人必须对检修设备与运行设备确已隔断负责，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人对工作票中所列内容即使发生很小疑问，也必须向工作负责人或工作签发人询问清楚，必要时应要求作详细补充，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人必须负责检查停电设备有无突然来电的危险，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人必须负责检查工作现场布置的安全措施是否完善，因为这是工作票工作许可人的安全责任。,正确
工作票工作许可人必须负责审查工作票所列安全措施是否正确完备，因为这是工作票工作许可人的安全责任。,正确
允许坐在安全帽上休息。,错误
第一种工作票应在工作前一日交给值班员。临时工作可在工作开始以前直接交给值班员。,错误
高处作业不得坐在平台、孔洞边缘，不得骑坐在栏杆上，可凭借栏杆起吊物件。,错误
施工用电，允许一个开关接两台及以上电动设备。,错误
同一张工作票中，工作票签发人、工作负责人和工作许可人三者可以互相兼任。,错误
工作票在执行中，存在违反规定、危及人身安全的情况，为工作票执行不合格。,正确
事故抢修应设专责监护人，专责监护人不直接参加作业，只对作业组人员安全负责。,正确
允许将电线直接勾挂在闸刀上或直接插入插座内使用。,错误
“三不伤害”是指：不伤害自己、不伤害他人，不被设备伤害。,错误
手持式电动工具的负荷线必须采用橡皮护套铜芯软电缆，并不应有接头。,正确
使用钻床、车床等转动机械时严禁戴手套。,正确
使用磨削机具时，应采取防火措施，防止火花引发火灾。,正确
使用工具前应进行检查，严禁使用不完整的工具。,正确
安规规定，任何电气设备上的标示牌，除原来放置人员或负责的运行值班人员外，其他任何人员不准移动。,正确
安规规定，不要用湿手去摸触电源开关以及其它电气设备。,错误
安规规定，清拭运转中机器的固定部分时，不能戴手套或将抹布缠在手上使用。,错误
安规规定，禁止在转动中的机器上装卸和校正皮带，或直接用手往皮带上撒松香等物。,正确
安规规定，在机器完全停止以前，不准进行修理工作。,正确
安规规定，移动式脚手架必须经过设计和验收。,正确
特殊情况下，可以利用起重机吊钩载人。,错误
专责监护人的基本条件是专责监护人应是具有相关工作经验、熟悉设备情况和安全规程的人员。,正确
工作负责人的基本条件是应是具有相关工作经验，熟悉设备情况和本规程，经工区(所、公司)生产领导书面批准的人员，工作负责人还应熟悉工作班成员的工作能力。,正确
临时工的安全管理、事故统计、考核与固定职工同等对待。,正确
湿手不准去摸触电灯开关以及其他电气设备(安全电压的电气设备除外)。,正确
所有楼梯、平台、通道、栏杆都应保持完整，铁板必须铺设牢固。铁板表面应有纹路以防滑跌。,正确
值班员如发现工作人员违反安全规程或任何危及工作人员安全的情况，应向工作负责人提出改正意见，必要时可暂时停止工作，并立即报告上级。,正确
新投产发电设备由于设计单位主要责任造成设备事故，但投运时间已超过一年，应中断该发电单位的安全记录。,正确
本企业实习生在从事电力生产有关工作过程中发生的人身伤亡，不统计为电力生产人身伤亡事故。,错误
生产性企业的车间可以作为工程的发包方向外发包工程项目。,错误
承包方施工人员在电力生产区域内违反有关规程制度时，发包方(电力企业)安全监督部门可以制止，但不得停止承包方的工作。,错误
安全监督人员有权对事故现场进行拍照、录音、录像等，安全监督人员对违反规定，隐瞒事故或阻碍事故调查的行为有权纠正或越级反映,正确
特殊情况可以利用任何管道、栏杆、脚手架悬吊重物和起吊设备,错误
行灯电压不应超过36V，在周围均是金属导体的场所和容器内工作时，不应超过24V，在潮湿的金属容器内、有爆炸危险的场所﹙如煤粉仓、沟道内﹚、脱硫烟道系统等处 工作时不应超过12v。行灯变压器的外壳应可靠地接地，不准使用自耦变压器。,正确
清拭运转中机器的固定部分时，应戴手套或将抹布缠在手上使用，只有在转动部分对工作人员没有危险时，方可允许用长嘴油壶或油枪往油盅和轴承里加油。,错误
事故抢修工作可不填用工作票，即可开展抢修工作。,错误
经常有人工作的场所及施工车辆上宜配备急救箱，存放急救用品，并应指定专人经常检查、补充或更换。,正确
高处作业人员使用绳梯或钢筋爬梯上下攀登时必须使用攀登自锁器,正确
在接近地下电缆、管道及埋设物的地方施工时，可使用铁镐、铁撬棍或铁楔子等工具进行挖土，不准使用机械挖土。,错误
如梯子长度不够而需将两个梯子连接使用时，须用金属卡子接紧，或用铁丝绑接牢固。,正确
在没有脚手架或者在没有栏杆的脚手架上工作，高度超过2m时，必须使用安全带，或采取其他可靠的安全措施。,错误
搭拆脚手架时工作人员必须戴安全帽，系安全带，穿绝缘鞋。,错误
工作负责人填写好工作票，交给工作票签发人审核，由工作票签发人对票面进行审核，确认无误后签发。,正确
一个工作负责人不得在同一现场作业期间内担任两个及以上工作任务的工作负责人。,正确
"敷设临时低压电源线路，应使用绝缘导线。架空高度室内应大于2.5m，室外应大于4m,跨越道路应大于6m。",正确
所有高温的管道、容器等设备上都应有保温，保温层应保证完整。当环境温度在25℃时，保温层表面的温度不宜超过40℃。,错误
在楼板和结构上打孔或在规定地点以外安装起重滑车或堆放重物等，必须事先经过本单位有关技术部门的审核许可。,正确
各级领导人员都不准发出违反安全规程的命令。工作人员接到违反安全规程的命令，应拒绝执行。,正确
在危及人身和设备安全的紧急情况下，经分管生产的行政副职或总工程师许可后，可以没有工作票即进行处置。,错误
行灯变压器的外壳必须有良好的接地线，高压侧应使用两相安全插头。,错误
在潮湿的金属容器内、有爆炸危险的场所(如煤粉仓、沟道内)、脱硫烟道系统等处工作时，不应超过24V。,错误
在金属容器内和狭窄场所工作时，必须使用36V以下的电气工具，或选用Ⅱ类手持式电动工具。,错误
在潮湿地方进行电焊工作，焊工必须站在干燥的木板上，或穿橡胶绝缘鞋。,正确
遇有6级以上的大风时，禁止露天进行起重工作。,正确
电气设备上的标示牌，如果因工作需要，可以将其临时移动、拆除，工作完后恢复。,错误
当现场有人发生触电，出现心跳停止时，应以最快速度送到医疗中心。,错误
没有取得焊工合格证的检修人员在生产现场进行电焊工作时必须有合格焊工在现场指导。,错误
在梯子上工作时，梯子与地面的斜角度为60°左右。工作人员必须登在距梯顶不 少于1米的梯蹬上工作。,正确
进入密闭容器前必须要测量容器内氧气含量不大于18％。,错误
发现有人触电时，应先向有关部门汇报，然后进行抢救。,错误
在落差大于1、5米且无防护措施的高处工作时必须戴安全带。,正确
在有窒息风险场所工作，测氧仪测量一次环境中氧含量后可关闭。,错误
进入有窒息风险场所(容器、廊道、窒息性气体场所等)只须佩戴测氧仪 。,错误
办理工作票时，检修班组成员不能代替工作票负责人在工作票上签字。,正确
检修工作需短时延期(二小时内)的工作票无需办理延期手续。,错误
为提高工作效率，经领导允许，可以用别人的工号签发、许可、终结工作票。,错误
中断工作连续6个月以上者，必须要经安规考试合格后方能恢复工作。,错误
工作负责人的责任是安排好工作并完成负责的工作。,错误
外来承包商施工区域涉及到电子间、升压站等重点区域时，项目管理部门需派专人监护。,正确
外包工程中，安环部应负责组织对承包单位进行安全与技术交底。,错误
电缆着火时会产生有毒气体，扑救人员需佩戴正压式空气呼吸器作为防护进行灭火。,正确
因检修需要搭设的脚手架，必须要经检修工作负责人验收并签字确认。,正确
任何产生火花的工作都应视作动火工作。,正确
安全带使用前应进行检查，并应定期进行静荷重试验。,错误
“安规”规定在梯子上工作时，梯子与地面的斜角度为65°左右,错误
电力生产必须坚持“安全第一、预防为主”的方针。,错误
"
",
